"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Produção (Toneladas)"
"Mês","Unidade da Federação x Produto das lavouras"
"Mês","Rondônia","Acre","Amazonas","Roraima","Pará","Amapá","Tocantins","Maranhão","Piauí","Ceará","Rio Grande do Norte","Paraíba","Pernambuco","Alagoas","Sergipe","Bahia","Minas Gerais","Espírito Santo","Rio de Janeiro","São Paulo","Paraná","Santa Catarina","Rio Grande do Sul","Mato Grosso do Sul","Mato Grosso","Goiás","Distrito Federal"
"Mês","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar"
"agosto 2009","-","-","365983","-","698787","-","664284","2982288","834954","2325458","4113586","6352570","19577888","27077552","2624373","5912967","56100278","5250075","6509311","400539320","55637261","763541","1263109","32874624","16646390","47329100","-"
"setembro 2009","-","-","365983","-","698787","-","664284","2982288","834954","2325578","4113586","6352570","19577888","27077552","2618035","5912967","56098028","5250075","6491311","400539320","55086000","763541","1263109","32874624","16852765","41437849","-"
"outubro 2009","-","-","365983","-","698787","-","664284","2982288","834954","2322896","4113586","6352570","19444441","27077552","2618035","5985197","60172116","5250595","6491315","400539320","55086000","763541","1255614","32596750","16852765","41437849","-"
"novembro 2009","-","-","365983","-","698787","-","664284","2982288","859513","2323639","4264676","6352570","19444441","27075784","2618035","5985197","57717958","5250595","6491315","400539320","55086000","763541","1255614","32596750","16852765","44064470","-"
"dezembro 2009","-","-","365983","-","698805","-","664284","2833787","859513","2323937","4264676","6302570","19444441","27460000","2618035","5776040","58336970","5249775","6491315","400539320","50096100","786612","1254475","29792853","16852765","44064470","-"
"janeiro 2010","-","-","368050","-","696288","-","504968","3691853","873671","2311872","4086303","6380067","19369420","25300035","2607155","5957471","52393878","5239575","6457457","395729252","54574809","-","1525756","36520000","16539934","50630000","-"
"fevereiro 2010","-","-","368050","-","696288","-","752131","2982288","873671","2316962","4086303","6380067","19369420","25300035","2607155","5817505","61349360","5239575","6457517","395729252","54574809","-","1533072","36520000","16539934","50630000","-"
"março 2010","-","-","368050","-","704310","-","752131","3229593","872955","2316779","4262543","6380067","19369420","25300035","2607155","5767278","61018358","4546953","6452417","395729252","54574809","-","1533202","36520000","15495638","50630000","-"
"abril 2010","-","-","368050","-","704310","-","752131","3229593","872955","2316779","4262543","6258446","19369420","25300035","2607155","5859898","61058744","4546953","6452417","395729252","52511464","-","1533202","37840000","15495638","50630000","-"
"maio 2010","-","-","368050","-","703450","-","752131","2785153","872105","2316779","4262543","6258446","19444341","25616310","2857385","5859898","60771655","4546953","6452417","395729252","55210480","-","1520007","37840000","16724718","46893800","-"
"junho 2010","-","-","368050","-","703610","-","715917","2785153","872105","2312024","3995635","6258446","20979745","25423500","2857385","5859898","60260057","4546953","6422207","395729252","56750224","-","1520007","37840000","16724718","44159183","-"
"julho 2010","-","-","368050","-","703626","-","715917","2785153","872105","2310605","3974205","6258446","20979745","25423500","2857385","5835480","60260057","4546953","6395207","395729252","56750224","-","1527364","37840000","16483418","45227721","-"
"agosto 2010","-","-","368050","-","654426","-","715917","2796835","863609","2306143","3771952","5260648","20979745","25390725","2857385","5835480","60822027","4944674","6395207","395729252","55514518","-","1527364","37840000","16483418","48175430","-"
"setembro 2010","-","-","368050","-","654426","-","715917","2831283","863609","2306080","3340374","5260648","21408745","25390725","2857385","5835480","60944681","4944674","6395207","395729252","55514518","-","1527364","37840000","16097696","47706630","-"
"outubro 2010","-","-","368050","-","654426","-","715917","2839530","863609","2306080","3973854","5260648","21408745","25390500","2857385","5582049","60917924","4944674","6395207","427945873","55514518","-","1534062","37840000","16097696","47706630","-"
"novembro 2010","-","-","368050","-","677986","-","715917","2832708","779084","2306080","3835739","5260648","21408745","25767612","2857385","5582049","60991184","4962284","6395207","427945873","55514518","-","1534062","37840000","16097696","47956985","-"
"dezembro 2010","-","-","368050","-","677986","-","715917","2832708","779084","2306004","3956327","5260648","23053387","25707782","2994819","4976209","61343211","4954209","6395207","427945873","55306548","-","1510090","34851406","16097696","47526435","-"
"janeiro 2011","-","-","367362","-","670366","-","1259250","3298316","847831","2240005","3406605","6649166","21418510","25800776","2994819","5324044","61596356","5032325","6088317","397999819","55709731","-","1454873","42008000","14286290","47370302","-"
"fevereiro 2011","-","-","367362","-","709827","-","1259250","3249302","847831","2240003","3406605","6413393","17415000","25800776","2994819","5049658","60503327","5032325","6085917","359235500","55709731","-","1454873","42008000","14286290","47370302","-"
"março 2011","-","-","367362","-","710897","-","1723516","2927619","847831","2240003","3547805","6224815","17415000","27201420","2994819","5129485","62136449","5032325","6050752","359235500","54032878","-","1425676","43076000","14286290","50193654","-"
"abril 2011","-","-","367362","-","711247","-","1723516","3104850","902230","2243123","3547585","6224815","17415000","27201420","2994819","5129485","63354529","5032325","6050752","359235500","54544881","-","1425676","42008000","15066379","50193654","-"
"maio 2011","-","-","367362","-","711247","-","1723516","2822482","902230","2243123","3560596","6224815","18512467","29391886","3187686","5129485","64078364","5055245","5138600","359235500","54544881","-","1349025","42008000","15071059","50560000","-"
"junho 2011","-","-","367362","-","711247","-","2163461","2787167","902430","2243123","3581236","6224815","18512467","29391886","3187686","5332647","64355602","5055245","5151280","364285249","54213109","-","1349025","42008000","15071059","55379288","-"
